PROPER NOUNS IN GRIFFITH RIGVEDA TRANSLATION
================================================================================

Total unique proper nouns (>= 5 occurrences): 921

740. LXXIV                (   6 occurrences)
741. LXXVI                (   6 occurrences)
742. LXXVIII              (   6 occurrences)
743. LXXIX                (   6 occurrences)
744. LXXX                 (   6 occurrences)
745. LXXXI                (   6 occurrences)
746. LXXXII               (   6 occurrences)
747. Pani                 (   6 occurrences)
748. LXXXIV               (   6 occurrences)
749. LXXXV                (   6 occurrences)
750. LXXXVI               (   6 occurrences)
751. Into                 (   6 occurrences)
752. LXXXVII              (   6 occurrences)
753. Armed                (   6 occurrences)
754. Invincible           (   6 occurrences)
755. Kindled              (   6 occurrences)
756. Purus                (   6 occurrences)
757. Visvaka              (   6 occurrences)
758. WonderWorkers        (   6 occurrences)
759. Maiden               (   6 occurrences)
760. Dancer               (   6 occurrences)
761. Strike               (   6 occurrences)
762. Purified             (   6 occurrences)
763. Brought              (   6 occurrences)
764. Vanaspati            (   6 occurrences)
765. Coming               (   6 occurrences)
766. Twins                (   6 occurrences)
767. Youngest             (   6 occurrences)
768. Saman                (   6 occurrences)
769. Mine                 (   6 occurrences)
770. Turvaga              (   6 occurrences)
771. Friendly             (   6 occurrences)
772. Grass                (   6 occurrences)
773. Against              (   6 occurrences)
774. Danava               (   6 occurrences)
775. Preserver            (   6 occurrences)
776. Cumuri               (   6 occurrences)
777. Pay                  (   6 occurrences)
778. Neither              (   6 occurrences)
779. Aja                  (   6 occurrences)
780. Ekapad               (   6 occurrences)
781. Infallible           (   6 occurrences)
782. Sublime              (   6 occurrences)
783. Delight              (   6 occurrences)
784. Eat                  (   6 occurrences)
785. Allied               (   6 occurrences)
786. Home                 (   6 occurrences)
787. FROM                 (   6 occurrences)
788. Strongest            (   6 occurrences)
789. Parusni              (   6 occurrences)
790. Sapient              (   6 occurrences)
791. Vena                 (   6 occurrences)
792. Ocean                (   6 occurrences)
793. Slaying              (   6 occurrences)
794. Beyond               (   6 occurrences)
795. Star                 (   6 occurrences)
796. Life                 (   6 occurrences)
797. Strengthener         (   6 occurrences)
798. Destroyer            (   6 occurrences)
799. Poured               (   6 occurrences)
800. FLOW                 (   6 occurrences)
801. Enter                (   6 occurrences)
802. Devapi               (   6 occurrences)
